loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Combined_asset_value
1676,5, Not Graduate, No,7900000,29900000,6,568,5800000,13900000,15900000,8700000, Approved,44300000
1165,0, Not Graduate, Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000, Approved,80000000
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000, Approved,6900000
911,2, Graduate, Yes,4900000,13100000,18,754,8200000,3300000,16500000,7200000, Approved,35200000
568,5, Graduate, Yes,3000000,11100000,12,441,8500000,2500000,7300000,2000000, Rejected,20300000
1559,4, Not Graduate, No,300000,1000000,10,819,700000,300000,900000,200000, Approved,2100000
1208,1, Not Graduate, Yes,300000,600000,8,816,600000,300000,1100000,200000, Approved,2200000
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved,70800000
3509,1, Not Graduate, No,9300000,28900000,6,526,11100000,1600000,19700000,11000000, Rejected,43400000
440,3, Graduate, Yes,9500000,20600000,2,731,13400000,3800000,20700000,9200000, Approved,47100000
290,1, Not Graduate, Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000, Rejected,56200000
2978,5, Not Graduate, No,3200000,10000000,14,610,2900000,3800000,8600000,3500000, Approved,18800000
4200,5, Not Graduate, No,600000,2000000,20,811,300000,400000,1900000,600000, Approved,3200000
2155,0, Not Graduate, No,3400000,10800000,6,439,5300000,1400000,11600000,1900000, Rejected,20200000
933,0, Not Graduate, Yes,7900000,24000000,20,728,18600000,15600000,21800000,7400000, Approved,63400000
2623,3, Graduate, No,3700000,9000000,6,483,9300000,400000,9900000,3600000, Rejected,23200000
3367,3, Not Graduate, Yes,5400000,14300000,4,595,4100000,2800000,19300000,4900000, Approved,31100000
3816,0, Not Graduate, Yes,9500000,32000000,2,500,8300000,9700000,24500000,5600000, Approved,48100000
3973,2, Graduate, Yes,9400000,30000000,16,565,1200000,3900000,28200000,9000000, Approved,42300000
1648,4, Not Graduate, Yes,3200000,12800000,8,638,4300000,2600000,8000000,3800000, Approved,18700000
1553,0, Not Graduate, No,7000000,18300000,6,541,6300000,6400000,20800000,8300000, Rejected,41800000
2954,5, Not Graduate, No,6900000,19200000,12,408,10000000,5000000,24900000,9000000, Rejected,48900000
1643,2, Not Graduate, Yes,8700000,18900000,2,554,3900000,1900000,18000000,11500000, Approved,35300000
3180,0, Not Graduate, No,5700000,21300000,4,697,3000000,6800000,20000000,5500000, Approved,35300000
2750,0, Graduate, Yes,4100000,11100000,16,785,6800000,5300000,8500000,4800000, Approved,25400000
2657,3, Not Graduate, No,3300000,13100000,2,554,6000000,2500000,6700000,3800000, Approved,19000000
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000, Approved,39700000
451,4, Not Graduate, No,9000000,29000000,16,590,4600000,15600000,29200000,12300000, Approved,61700000
